Qatar	0	0	0	0	0	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	
Senegal	0	0.9999999999980838	0.9999999999980838	0	0	0	0	0	
Netherlands	0.9999999999980838	0	0.9999999999980838	0.9999999999980838	0	0	0	0	
England	0.9999999999980838	0	0.9999999999980838	0.9999999999980838	0	0	0	0	
Iran	0	0	0	0	0	0	0	0	
United States	0	0.9999999999980838	0.9999999999980838	0	0	0	0	0	
Wales	0	0	0	0	0	0	0	0	
Argentina	0.9999999999980838	0	0.9999999999980838	0.9999999999980838	0.9999999999980838	0.19510000000005434	0.3173600000001766	0.2753500000001346	
Saudi Arabia	0	0	0	0	0	0	0	0	
Mexico	0	0	0	0	0	0	0	0	
Poland	0	0.9999999999980838	0.9999999999980838	0	0	0	0	0	
France	0.9999999999980838	0	0.9999999999980838	0.9999999999980838	0.9999999999980838	0.3134600000001727	0.19980000000005904	0.23494000000009418	
Australia	0	0.9999999999980838	0.9999999999980838	0	0	0	0	0	
Denmark	0	0	0	0	0	0	0	0	
Tunisia	0	0	0	0	0	0	0	0	
Spain	0	0.9999999999980838	0.9999999999980838	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	
Germany	0	0	0	0	0	0	0	0	
Japan	0.9999999999980838	0	0.9999999999980838	0	0	0	0	0	
Belgium	0	0	0	0	0	0	0	0	
Canada	0	0	0	0	0	0	0	0	
Marroco	0.9999999999980838	0	0.9999999999980838	0.9999999999980838	0.9999999999980838	0.2622800000001215	0.23189000000009113	0.3333700000001926	
Croatia	0	0.9999999999980838	0.9999999999980838	0.9999999999980838	0.9999999999980838	0.2291600000000884	0.2509500000001102	0.15634000000001558	
Brazil	0.9999999999980838	0	0.9999999999980838	0.9999999999980838	0	0	0	0	
Serbia	0	0	0	0	0	0	0	0	
Switzerland	0	0.9999999999980838	0.9999999999980838	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	
Portugal	0.9999999999980838	0	0.9999999999980838	0.9999999999980838	0	0	0	0	
Ghana	0	0	0	0	0	0	0	0	
Uruguay	0	0	0	0	0	0	0	0	
South Korea	0	0.9999999999980838	0.9999999999980838	0	0	0	0	0	
