Código;País;codigo;Ataque;Defesa;Global
30;Brazil;BRA;3,56058686;3,189756;11,357403
203;Spain;ESP;3,43196356;2,77965119;9,539662
75;France;FRA;2,88798422;2,93442437;8,474571
82;Germany;GER;3,44413048;2,44733853;8,428953
9;Argentina;ARG;2,76890063;2,93954261;8,139301
171;Portugal;POR;2,54672812;2,71733796;6,920321
67;England;ENG;2,12623817;2,93419583;6,238799
213;Sweden;SWE;2,71790541;2,20846381;6,002396
20;Belgium;BEL;3,30797821;1,80551883;5,972617
52;Croatia;CRO;2,23615015;2,55536078;5,71417
105;Italy;ITA;2,03130595;2,74915453;5,584374
170;Poland;POL;3,25065614;1,69159105;5,498781
147;Netherlands;NED;3,08176307;1,76708008;5,445722
43;Chile;CHI;2,7049573;1,92166881;5,198032
46;Colombia;COL;2,35626531;2,19553942;5,173273
58;Denmark;DEN;2,27851109;2,25007846;5,126829
239;Wales;WAL;2,01952771;2,5369301;5,123401
141;Morocco;MAR;1,95241065;2,52675005;4,933254
101;Iran;IRN;1,63877959;2,87547082;4,712263
232;Uruguay;URU;2,4942098;1,81545949;4,528137
168;Peru;PER;2,08039265;2,11637971;4,402901
210;Suisse;SUI;2,23997028;1,82438507;4,086568
98;Iceland;ISL;2,17841331;1,78877121;3,896683
103;Ireland;IRL;1,80917511;2,10490074;3,808134
64;Ecuador;ECU;2,4636685;1,43979762;3,547184
188;Serbia;SRB;2,37544646;1,48473936;3,526919
194;Slovakia;SVK;2,06635454;1,69319381;3,498739
177;Russia;RUS;2,21004222;1,57880726;3,489231
230;Ukraine;UKR;1,64388544;2,0254379;3,329588
135;Mexico;MEX;2,0220062;1,63784957;3,311742
176;Romania;ROU;1,671644;1,96270877;3,28095
13;Austria;AUT;1,99952972;1,61462882;3,228498
175;Reunion;;1,11536949;2,83651572;3,163763
234;USA;USA;1,97267345;1,58616255;3,128981
158;Northern Ireland;NIR;1,31953981;2,30175421;3,037256
186;Scotland;SCO;2,14729038;1,3871575;2,97863
187;Senegal;SEN;1,69642707;1,73135461;2,937117
107;Japan;JPN;1,94710511;1,50514938;2,930684
167;Paraguay;PAR;1,76851132;1,57624276;2,787603
65;Egypt;EGY;1,46499778;1,84558383;2,703776
56;Czech Republic;CZE;1,76399318;1,49620606;2,639297
237;Venezuela;VEN;1,64044537;1,60446959;2,632045
28;Bosnia and Herzegovina;BIH;2,0816752;1,26101678;2,625027
225;Turkey;TUR;1,90826247;1,37066012;2,615579
195;Slovenia;SVN;1,46939858;1,69237501;2,486773
139;Montenegro;MNE;1,79810184;1,37128135;2,465704
50;Costa Rica;CRC;1,44836224;1,6515763;2,392081
12;Australia;AUS;1,72987085;1,37081316;2,37133
153;Nigeria;NGA;1,38842373;1,6407621;2,278073
199;South Korea;KOR;1,52193848;1,47406836;2,243441
224;Tunisia;TUN;1,51280712;1,47524396;2,23176
86;Greece;GRE;1,35467425;1,57672467;2,135948
