Id,Label,timeset,pageranks,modularity_class,n_selecoes_ganhou,n_selecoes_perdeu,vitorias,derrotas,n_jogos,aproveitamento
Kuwait,,,0.002284,2,13,16,19,26,45,0.422222
Jordan,,,0.003929,2,25,23,41,37,78,0.525641
Mauritania,,,0.004081,0,18,23,27,35,62,0.435484
Uganda,,,0.004829,0,28,25,54,47,101,0.534653
Bahrain,,,0.003712,2,19,19,37,33,70,0.528571
Qatar,,,0.004205,2,32,27,45,35,80,0.5625
Namibia,,,0.003825,0,19,20,29,24,53,0.54717
Ghana,,,0.005509,0,24,26,45,37,82,0.54878
Ethiopia,,,0.002092,0,16,20,23,38,61,0.377049
Nigeria,Nigéria,,0.006288,0,34,28,48,37,85,0.564706
Mozambique,,,0.002698,0,17,22,28,33,61,0.459016
Gabon,,,0.004213,0,23,28,35,42,77,0.454545
Zimbabwe,,,0.003736,0,22,19,40,30,70,0.571429
South Africa,,,0.005717,0,26,22,54,37,91,0.593407
Mali,,,0.005225,0,28,25,40,36,76,0.526316
Morocco,Marrocos,,0.006974,0,32,21,53,28,81,0.654321
Burkina Faso,,,0.007124,0,25,24,44,42,86,0.511628
Congo,,,0.004478,0,19,19,31,33,64,0.484375
Libya,,,0.004989,0,22,23,33,34,67,0.492537
DR Congo,,,0.007088,0,26,19,42,33,75,0.56
Burundi,,,0.003021,0,17,14,27,23,50,0.54
Moldova,,,0.001224,1,13,26,15,39,54,0.277778
Norway,,,0.004183,1,14,19,21,27,48,0.4375
Sweden,,,0.010167,1,25,17,37,27,64,0.578125
Poland,,,0.0106,1,24,13,36,18,54,0.666667
Iceland,,,0.009609,1,22,25,33,26,59,0.559322
Costa Rica,,,0.008366,4,25,23,48,38,86,0.55814
Chile,,,0.014272,4,26,17,43,32,75,0.573333
Finland,,,0.004215,1,18,25,22,32,54,0.407407
Oman,,,0.004063,2,22,21,38,31,69,0.550725
South Korea,Coréia do Sul,,0.007159,2,31,22,47,28,75,0.626667
Mexico,,,0.010533,4,36,22,68,38,106,0.641509
USA,,,0.008924,4,35,23,57,36,93,0.612903
Singapore,,,0.001736,2,17,21,24,36,60,0.4
Dominica,,,0.001389,4,7,10,12,21,33,0.363636
St. Vincent and the Grenadines,,,0.001979,4,11,14,20,24,44,0.454545
Pakistan,Paquistão,,0.001208,2,2,4,2,5,7,0.285714
Lebanon,,,0.003547,2,17,15,25,20,45,0.555556
North Korea,,,0.003904,2,18,16,29,25,54,0.537037
Iraq,,,0.005268,2,23,18,38,38,76,0.5
Philippines,,,0.002804,2,19,18,33,29,62,0.532258
Malaysia,,,0.001522,2,17,22,26,39,65,0.4
Barbados,,,0.002784,4,11,13,14,17,31,0.451613
Jamaica,,,0.006097,4,21,23,28,32,60,0.466667
Iran,,,0.008267,2,28,16,42,18,60,0.7
Czech Republic,,,0.005719,1,19,19,27,23,50,0.54
Germany,Alemanha,,0.016379,1,30,15,50,23,73,0.684932
Argentina,Argentina,,0.015752,4,29,16,48,23,71,0.676056
Romania,,,0.005398,1,21,20,30,24,54,0.555556
Italy,,,0.011791,1,22,15,38,23,61,0.622951
