Código;País;Ataque;Defesa;Global
30;Brazil;3,56058686;3,189756;11,357403
203;Spain;3,43196356;2,77965119;9,539662
75;France;2,88798422;2,93442437;8,474571
82;Germany;3,44413048;2,44733853;8,428953
9;Argentina;2,76890063;2,93954261;8,139301
171;Portugal;2,54672812;2,71733796;6,920321
67;England;2,12623817;2,93419583;6,238799
213;Sweden;2,71790541;2,20846381;6,002396
20;Belgium;3,30797821;1,80551883;5,972617
52;Croatia;2,23615015;2,55536078;5,71417
105;Italy;2,03130595;2,74915453;5,584374
170;Poland;3,25065614;1,69159105;5,498781
147;Netherlands;3,08176307;1,76708008;5,445722
43;Chile;2,7049573;1,92166881;5,198032
46;Colombia;2,35626531;2,19553942;5,173273
58;Denmark;2,27851109;2,25007846;5,126829
239;Wales;2,01952771;2,5369301;5,123401
141;Morocco;1,95241065;2,52675005;4,933254
101;Iran;1,63877959;2,87547082;4,712263
232;Uruguay;2,4942098;1,81545949;4,528137
168;Peru;2,08039265;2,11637971;4,402901
210;Suisse;2,23997028;1,82438507;4,086568
98;Iceland;2,17841331;1,78877121;3,896683
103;Ireland;1,80917511;2,10490074;3,808134
64;Ecuador;2,4636685;1,43979762;3,547184
188;Serbia;2,37544646;1,48473936;3,526919
194;Slovakia;2,06635454;1,69319381;3,498739
177;Russia;2,21004222;1,57880726;3,489231
230;Ukraine;1,64388544;2,0254379;3,329588
135;Mexico;2,0220062;1,63784957;3,311742
176;Romania;1,671644;1,96270877;3,28095
13;Austria;1,99952972;1,61462882;3,228498
175;Reunion;1,11536949;2,83651572;3,163763
234;USA;1,97267345;1,58616255;3,128981
158;Northern Ireland;1,31953981;2,30175421;3,037256
186;Scotland;2,14729038;1,3871575;2,97863
187;Senegal;1,69642707;1,73135461;2,937117
107;Japan;1,94710511;1,50514938;2,930684
167;Paraguay;1,76851132;1,57624276;2,787603
65;Egypt;1,46499778;1,84558383;2,703776
56;Czech Republic;1,76399318;1,49620606;2,639297
237;Venezuela;1,64044537;1,60446959;2,632045
28;Bosnia and Herzegovina;2,0816752;1,26101678;2,625027
225;Turkey;1,90826247;1,37066012;2,615579
195;Slovenia;1,46939858;1,69237501;2,486773
139;Montenegro;1,79810184;1,37128135;2,465704
50;Costa Rica;1,44836224;1,6515763;2,392081
