country,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022
Algeria,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,6,6,6,13,13,13
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Argentina,18,20,20,20,20,25,27,31,31,40,55,63,77,82,90,100,102,113,123,131,137,152
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,13,17
Austria,0,7,7,7,24,26,26,26,26,26,33,38,38,40,40,43,43,43,43,43,43,43
Belgium,0,2,3,3,8,8,8,8,12,12,12,15,27,33,37,40,46,46,46,52,68,69
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
Brazil,5,6,20,42,50,66,80,84,103,109,119,134,144,148,159,173,191,201,210,221,229,237
Bulgaria,0,0,0,0,0,0,1,2,7,9,9,9,11,11,21,22,22,22,22,22,22,22
Cameroon,0,0,0,0,0,0,0,0,0,0,0,1,1,8,11,13,15,15,17,18,18,22
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chile,5,5,5,10,10,10,20,22,22,23,23,26,26,26,26,31,31,31,34,40,40,40
Colombia,0,0,0,0,0,0,5,5,5,5,5,5,5,9,13,14,14,14,14,26,32,32
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,9,12,12,17,19,22
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,15,15,21,35,43
Cuba,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
Czechoslovakia,0,9,14,14,14,23,30,30,32,32,32,34,34,44,44,44,44,44,44,44,44,44
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,19,24,24,27,27,30,31
East Germany,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,10,10,14
Egypt,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,5,5
El Salvador,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
England,0,0,0,2,10,14,19,30,34,34,34,40,47,55,55,62,68,74,77,79,91,104
France,4,6,10,10,13,36,36,38,38,38,43,59,71,71,71,86,86,95,96,106,120,136
Germany,0,11,14,14,39,51,55,70,87,100,110,122,130,145,154,162,176,190,206,224,226,232
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13,13,18
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5
Haiti,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Honduras,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3
Hungary,0,5,20,20,47,54,62,70,70,70,73,85,87,87,87,87,87,87,87,87,87,87
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Iran,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,6,6,7,9,13
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,10,10,10,10,10,10
Israel,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
